                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.3108,                0.95914,                 1.5781,                0.71953,                0.46685,                0.61107,                0.31115,                 1.7588,                 1.6861,                 2.3807,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.3742,                 1.0053,                 1.6146,                0.70632,                0.49171,                0.58985,                0.29146,                 1.8026,                 1.7886,                 2.4343,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.3357,                0.99192,                 1.5815,                0.67127,                0.53039,                0.61253,                0.29163,                  1.814,                 1.6897,                 2.4724,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.3098,                0.95741,                 1.5573,                0.71936,                0.53816,                0.62456,                0.31482,                 1.8003,                 1.6972,                 2.3894,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.3203,                0.98282,                 1.5702,                0.67379,                0.52486,                0.61266,                0.29028,                 1.8392,                 1.6872,                 2.4894,               0.000812,               0.000812,               0.000812
                     93,                 1.3414,                0.98527,                 1.5977,                0.65274,                0.49849,                 0.5808,                0.28601,                 1.8276,                 1.8332,                 2.4261,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.3085,                 0.9489,                  1.549,                0.66377,                0.55626,                0.60939,                0.30746,                 1.8053,                 1.7742,                 2.4195,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.3151,                0.93863,                 1.5683,                0.69354,                0.55639,                0.64454,                0.32286,                 1.8058,                 1.6131,                 2.4426,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.3199,                0.96126,                 1.5765,                0.71754,                0.51657,                0.61562,                0.30695,                 1.7878,                 1.6164,                 2.4103,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.2914,                 0.9377,                 1.5667,                0.67508,                0.52229,                0.59659,                0.29571,                 1.8196,                 1.8588,                 2.4774,               0.000746,               0.000746,               0.000746
                     98,                 1.3118,                 0.9397,                 1.5879,                0.68824,                0.53591,                0.62886,                0.31252,                 1.7818,                 1.6544,                 2.4166,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.2692,                0.91429,                 1.5425,                0.71896,                    0.5,                0.60104,                0.30294,                 1.8093,                 1.7587,                 2.4589,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.2717,                0.88969,                 1.5225,                0.67598,                0.52762,                0.58789,                0.29337,                 1.8096,                 1.7982,                   2.45,              0.0007064,              0.0007064,              0.0007064
                    101,                 1.2476,                0.89608,                 1.5172,                0.70203,                0.54696,                0.61909,                0.30162,                 1.8181,                 1.7639,                 2.4623,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.2925,                 0.9416,                 1.5432,                0.69522,                0.53039,                0.62001,                0.30825,                 1.7933,                 1.7557,                 2.3996,                0.00068,                0.00068,                0.00068
                    103,                 1.2518,                0.89181,                 1.5224,                0.64969,                0.60773,                0.64886,                0.32541,                 1.7806,                 1.5911,                 2.4297,              0.0006668,              0.0006668,              0.0006668
                    104,                  1.253,                0.88838,                 1.5129,                0.77162,                0.49468,                 0.6112,                0.31343,                 1.7866,                 1.8077,                 2.4292,              0.0006536,              0.0006536,              0.0006536
                    105,                  1.264,                0.90283,                 1.5214,                0.72504,                0.57546,                 0.6461,                0.32119,                 1.7725,                 1.6419,                 2.4183,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.2281,                0.86877,                  1.495,                 0.6545,                 0.5861,                0.63603,                0.30517,                 1.8149,                 1.6847,                 2.4705,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.2309,                0.86433,                 1.4921,                0.65396,                0.59945,                0.63266,                0.31629,                 1.7935,                 1.6425,                 2.4214,               0.000614,               0.000614,               0.000614
                    108,                 1.2504,                0.89117,                  1.534,                0.67696,                0.60221,                0.65784,                0.33693,                 1.7533,                 1.5278,                 2.3977,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.2313,                 0.8687,                 1.5075,                0.70562,                0.53635,                0.63206,                0.31521,                 1.8185,                 1.7031,                 2.4468,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.2105,                0.83663,                 1.4735,                0.75313,                0.53937,                0.63712,                0.30977,                 1.7993,                 1.6906,                 2.4796,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.2249,                0.86042,                 1.4971,                0.72079,                0.53867,                0.63255,                0.30554,                 1.8256,                 1.6783,                 2.5157,              0.0005612,              0.0005612,              0.0005612
