                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.2449,                0.86109,                 1.5268,                0.69634,                0.56077,                0.62803,                0.32859,                  1.714,                 1.5328,                 2.4154,              0.0014632,              0.0014632,              0.0014632
                    125,                 1.2564,                0.87899,                 1.5373,                0.63329,                0.46409,                0.55835,                0.28773,                 1.7608,                 1.9139,                  2.464,              0.0014588,              0.0014588,              0.0014588
                    126,                 1.2462,                0.87038,                 1.5363,                0.64207,                0.59945,                0.60079,                0.30741,                 1.6826,                 1.6934,                 2.3979,              0.0014544,              0.0014544,              0.0014544
                    127,                 1.2384,                0.85954,                 1.5156,                0.74842,                0.54144,                 0.6546,                0.35908,                 1.6574,                 1.5921,                 2.3332,                0.00145,                0.00145,                0.00145
                    128,                 1.2091,                0.86089,                 1.5173,                0.67398,                0.60497,                0.63681,                 0.3226,                 1.7413,                 1.5606,                  2.467,              0.0014456,              0.0014456,              0.0014456
                    129,                  1.195,                0.83892,                 1.5006,                 0.6518,                0.61018,                0.63999,                0.33192,                 1.7394,                 1.6235,                 2.4131,              0.0014412,              0.0014412,              0.0014412
                    130,                 1.2019,                0.82588,                 1.4927,                0.76219,                0.56077,                  0.679,                0.35522,                 1.7475,                 1.4596,                 2.4369,              0.0014368,              0.0014368,              0.0014368
                    131,                 1.2015,                0.83847,                 1.5009,                0.74268,                0.58564,                0.67028,                0.35189,                 1.6728,                 1.5729,                 2.3839,              0.0014324,              0.0014324,              0.0014324
                    132,                 1.2031,                0.80665,                 1.4899,                0.70142,                0.57735,                 0.6643,                0.34729,                 1.7404,                   1.62,                 2.4345,               0.001428,               0.001428,               0.001428
                    133,                 1.2019,                0.83106,                 1.4924,                0.72146,                0.59116,                0.68339,                0.37407,                 1.6685,                 1.4529,                 2.3923,              0.0014236,              0.0014236,              0.0014236
                    134,                 1.1781,                 0.8359,                 1.4958,                0.71844,                0.58564,                0.66123,                0.35471,                 1.6869,                 1.6058,                 2.4086,              0.0014192,              0.0014192,              0.0014192
                    135,                  1.182,                0.80461,                 1.4818,                 0.7859,                0.53744,                0.66128,                0.34718,                 1.6947,                 1.5889,                 2.4079,              0.0014148,              0.0014148,              0.0014148
                    136,                  1.208,                 0.8103,                 1.5019,                0.67281,                0.59116,                0.64532,                0.33451,                 1.6964,                 1.5025,                 2.4047,              0.0014104,              0.0014104,              0.0014104
                    137,                 1.1718,                 0.8057,                 1.4756,                0.67264,                0.57895,                0.65083,                0.33827,                  1.738,                 1.5887,                 2.4532,               0.001406,               0.001406,               0.001406
                    138,                 1.1923,                0.82331,                 1.5029,                0.74089,                0.56354,                0.65467,                0.35098,                 1.7226,                 1.4821,                 2.4113,              0.0014016,              0.0014016,              0.0014016
                    139,                 1.1851,                0.81108,                 1.4679,                0.80099,                0.54972,                0.68639,                0.36445,                 1.7048,                 1.4524,                 2.4292,              0.0013972,              0.0013972,              0.0013972
                    140,                 1.1504,                 0.8023,                 1.4639,                0.71622,                0.55777,                0.64238,                0.33991,                 1.6889,                 1.4628,                 2.3992,              0.0013928,              0.0013928,              0.0013928
                    141,                 1.1739,                0.80409,                 1.4724,                0.66748,                0.65193,                0.69967,                0.36942,                 1.7095,                  1.471,                 2.4117,              0.0013884,              0.0013884,              0.0013884
                    142,                 1.1909,                 0.8261,                  1.487,                0.73473,                0.60446,                0.68465,                0.35588,                 1.7334,                 1.4739,                  2.462,               0.001384,               0.001384,               0.001384
                    143,                  1.147,                 0.7924,                 1.4465,                0.65065,                 0.5968,                0.65241,                 0.3324,                 1.7502,                 1.5093,                 2.4586,              0.0013796,              0.0013796,              0.0013796
                    144,                 1.1648,                0.81514,                 1.4605,                0.69376,                0.62582,                0.69398,                0.35947,                 1.6775,                 1.4611,                  2.386,              0.0013752,              0.0013752,              0.0013752
                    145,                 1.1439,                0.78944,                 1.4465,                0.73568,                0.57735,                0.66142,                0.34912,                 1.7174,                  1.552,                 2.4369,              0.0013708,              0.0013708,              0.0013708
                    146,                 1.1764,                 0.7758,                 1.4714,                0.74312,                0.57539,                0.67401,                0.35124,                 1.7345,                 1.5343,                 2.4434,              0.0013664,              0.0013664,              0.0013664
                    147,                 1.1521,                0.77067,                 1.4423,                0.80144,                0.53591,                0.65468,                0.34582,                 1.7265,                 1.5591,                 2.4246,               0.001362,               0.001362,               0.001362
                    148,                 1.1339,                0.78464,                 1.4463,                0.76463,                0.55801,                 0.6889,                 0.3749,                  1.699,                 1.5423,                 2.3921,              0.0013576,              0.0013576,              0.0013576
